,iso_code,country,year,Energy Type,Energy Consumption (TwH)
0,OWID_WRL,World,1965,biofuel_consumption,0.0
55,OWID_WRL,World,1965,coal_consumption,16140.191
770,OWID_WRL,World,1965,energy_per_capita,12949.971
715,OWID_WRL,World,1965,energy_per_gdp,2.574
110,OWID_WRL,World,1965,fossil_fuel_consumption,40552.638
165,OWID_WRL,World,1965,gas_consumption,6303.804
220,OWID_WRL,World,1965,hydro_consumption,2564.441
275,OWID_WRL,World,1965,low_carbon_consumption,2685.343
330,OWID_WRL,World,1965,nuclear_consumption,70.944
385,OWID_WRL,World,1965,oil_consumption,18108.643
440,OWID_WRL,World,1965,other_renewable_consumption,49.959
660,OWID_WRL,World,1965,primary_energy_consumption,43247.517
495,OWID_WRL,World,1965,renewables_consumption,2614.4
550,OWID_WRL,World,1965,solar_consumption,0.0
605,OWID_WRL,World,1965,wind_consumption,0.0
1,OWID_WRL,World,1966,biofuel_consumption,0.0
56,OWID_WRL,World,1966,coal_consumption,16324.107
771,OWID_WRL,World,1966,energy_per_capita,13375.477
716,OWID_WRL,World,1966,energy_per_gdp,2.575
111,OWID_WRL,World,1966,fossil_fuel_consumption,42689.378
166,OWID_WRL,World,1966,gas_consumption,6868.8
221,OWID_WRL,World,1966,hydro_consumption,2732.827
276,OWID_WRL,World,1966,low_carbon_consumption,2883.492
331,OWID_WRL,World,1966,nuclear_consumption,95.648
386,OWID_WRL,World,1966,oil_consumption,19496.471
441,OWID_WRL,World,1966,other_renewable_consumption,55.017
661,OWID_WRL,World,1966,primary_energy_consumption,45582.596
496,OWID_WRL,World,1966,renewables_consumption,2787.844
551,OWID_WRL,World,1966,solar_consumption,0.0
606,OWID_WRL,World,1966,wind_consumption,0.0
2,OWID_WRL,World,1967,biofuel_consumption,0.0
57,OWID_WRL,World,1967,coal_consumption,16060.823
772,OWID_WRL,World,1967,energy_per_capita,13596.333
717,OWID_WRL,World,1967,energy_per_gdp,2.571
112,OWID_WRL,World,1967,fossil_fuel_consumption,44325.448
167,OWID_WRL,World,1967,gas_consumption,7374.045
222,OWID_WRL,World,1967,hydro_consumption,2793.732
277,OWID_WRL,World,1967,low_carbon_consumption,2963.156
332,OWID_WRL,World,1967,nuclear_consumption,113.906
387,OWID_WRL,World,1967,oil_consumption,20890.58
442,OWID_WRL,World,1967,other_renewable_consumption,55.518
662,OWID_WRL,World,1967,primary_energy_consumption,47298.513
497,OWID_WRL,World,1967,renewables_consumption,2849.25
552,OWID_WRL,World,1967,solar_consumption,0.0
607,OWID_WRL,World,1967,wind_consumption,0.0
3,OWID_WRL,World,1968,biofuel_consumption,0.0
58,OWID_WRL,World,1968,coal_consumption,16301.16
773,OWID_WRL,World,1968,energy_per_capita,14128.77
718,OWID_WRL,World,1968,energy_per_gdp,2.573
113,OWID_WRL,World,1968,fossil_fuel_consumption,47020.964
168,OWID_WRL,World,1968,gas_consumption,8044.338
223,OWID_WRL,World,1968,hydro_consumption,2942.472
278,OWID_WRL,World,1968,low_carbon_consumption,3148.675
333,OWID_WRL,World,1968,nuclear_consumption,144.759
388,OWID_WRL,World,1968,oil_consumption,22675.466
443,OWID_WRL,World,1968,other_renewable_consumption,61.445
663,OWID_WRL,World,1968,primary_energy_consumption,50179.728
498,OWID_WRL,World,1968,renewables_consumption,3003.916
553,OWID_WRL,World,1968,solar_consumption,0.0
608,OWID_WRL,World,1968,wind_consumption,0.0
4,OWID_WRL,World,1969,biofuel_consumption,0.0
59,OWID_WRL,World,1969,coal_consumption,16798.749
774,OWID_WRL,World,1969,energy_per_capita,14775.572
719,OWID_WRL,World,1969,energy_per_gdp,2.601
114,OWID_WRL,World,1969,fossil_fuel_consumption,50209.059
169,OWID_WRL,World,1969,gas_consumption,8833.425
224,OWID_WRL,World,1969,hydro_consumption,3115.956
279,OWID_WRL,World,1969,low_carbon_consumption,3352.182
334,OWID_WRL,World,1969,nuclear_consumption,171.621
389,OWID_WRL,World,1969,oil_consumption,24576.884
444,OWID_WRL,World,1969,other_renewable_consumption,64.606
664,OWID_WRL,World,1969,primary_energy_consumption,53571.509
499,OWID_WRL,World,1969,renewables_consumption,3180.561
554,OWID_WRL,World,1969,solar_consumption,0.0
609,OWID_WRL,World,1969,wind_consumption,0.0
5,OWID_WRL,World,1970,biofuel_consumption,0.0
60,OWID_WRL,World,1970,coal_consumption,17058.622
775,OWID_WRL,World,1970,energy_per_capita,15389.117
720,OWID_WRL,World,1970,energy_per_gdp,2.612
115,OWID_WRL,World,1970,fossil_fuel_consumption,53381.484
170,OWID_WRL,World,1970,gas_consumption,9614.799
225,OWID_WRL,World,1970,hydro_consumption,3262.913
280,OWID_WRL,World,1970,low_carbon_consumption,3553.379
335,OWID_WRL,World,1970,nuclear_consumption,219.096
390,OWID_WRL,World,1970,oil_consumption,26708.063
445,OWID_WRL,World,1970,other_renewable_consumption,71.37
665,OWID_WRL,World,1970,primary_energy_consumption,56946.457
500,OWID_WRL,World,1970,renewables_consumption,3334.283
555,OWID_WRL,World,1970,solar_consumption,0.0
610,OWID_WRL,World,1970,wind_consumption,0.0
6,OWID_WRL,World,1971,biofuel_consumption,0.0
61,OWID_WRL,World,1971,coal_consumption,16965.973
776,OWID_WRL,World,1971,energy_per_capita,15696.423
721,OWID_WRL,World,1971,energy_per_gdp,2.599
116,OWID_WRL,World,1971,fossil_fuel_consumption,55463.017
171,OWID_WRL,World,1971,gas_consumption,10292.201
226,OWID_WRL,World,1971,hydro_consumption,3408.517
